Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-16 11:39:14.832757
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-16 11:39:14.833200
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-16 11:39:14.833633
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-16 11:39:14.834202
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-16 11:39:14.834667
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-16 11:39:14.835108
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-16 11:39:14.835547
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-16 11:39:14.836034
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-16 11:39:14.836493
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-16 11:39:14.837381
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-16 11:39:14.837877
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-16 11:39:14.838363
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-16 11:39:14.838812
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-16 11:39:14.839731
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-16 11:39:14.840188
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-16 11:39:14.840626
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-16 11:39:14.841099
Pants 22,4319680.0,4.9,3,M,Men,2025-05-16 11:39:16.061140
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-16 11:39:16.061602
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-16 11:39:16.062043
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-16 11:39:16.062477
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-16 11:39:16.062965
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-16 11:39:16.063422
Pants 28,5216160.0,4.0,3,L,Men,2025-05-16 11:39:16.063863
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-16 11:39:16.064299
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-16 11:39:16.064778
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-16 11:39:16.065739
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-16 11:39:16.066203
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-16 11:39:16.066695
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-16 11:39:16.067162
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-16 11:39:16.067616
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-16 11:39:16.068112
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-16 11:39:16.068612
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-16 11:39:16.069069
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-16 11:39:16.069513
