Title,Price,Rating,Colors,Size,Gender,Timestamp
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-16 11:44:20.324558
T-shirt 2,$102.15,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Women,2025-05-16 11:44:20.325068
Hoodie 3,$496.88,Rating: ⭐ 4.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-16 11:44:20.325519
Pants 4,$467.31,Rating: ⭐ 3.3 / 5,3 Colors,Size: XL,Gender: Men,2025-05-16 11:44:20.325992
Outerwear 5,$321.59,Rating: ⭐ 3.5 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-16 11:44:20.326452
Jacket 6,$153.37,Rating: ⭐ 3.3 / 5,3 Colors,Size: S,Gender: Unisex,2025-05-16 11:44:20.327120
Crewneck 7,$430.75,Rating: ⭐ 4.3 / 5,3 Colors,Size: M,Gender: Men,2025-05-16 11:44:20.327575
T-shirt 8,$487.66,Rating: ⭐ 3.1 / 5,3 Colors,Size: L,Gender: Women,2025-05-16 11:44:20.328011
Hoodie 9,$248.26,Rating: ⭐ 3.2 / 5,3 Colors,Size: XL,Gender: Unisex,2025-05-16 11:44:20.328510
Pants 10,$193.76,Rating: ⭐ 4.2 / 5,3 Colors,Size: XXL,Gender: Men,2025-05-16 11:44:20.328977
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-16 11:44:20.329425
Jacket 12,$532.99,Rating: ⭐ 3.9 / 5,3 Colors,Size: M,Gender: Unisex,2025-05-16 11:44:20.329860
Crewneck 13,$340.45,Rating: ⭐ 3.2 / 5,3 Colors,Size: L,Gender: Men,2025-05-16 11:44:20.330351
T-shirt 14,$203.05,Rating: ⭐ 3.8 / 5,3 Colors,Size: XL,Gender: Women,2025-05-16 11:44:20.330804
Hoodie 15,$136.51,Rating: ⭐ 3.6 / 5,3 Colors,Size: XXL,Gender: Unisex,2025-05-16 11:44:20.331246
Pants 16,Price Unavailable,Rating: Not Rated,8 Colors,Size: S,Gender: Men,2025-05-16 11:44:20.331711
Outerwear 17,$52.60,Rating: ⭐ 3.8 / 5,3 Colors,Size: M,Gender: Women,2025-05-16 11:44:20.332223
Jacket 18,$343.75,Rating: ⭐ 3.8 / 5,3 Colors,Size: L,Gender: Unisex,2025-05-16 11:44:20.332680
Crewneck 19,$81.81,Rating: ⭐ 3.6 / 5,3 Colors,Size: XL,Gender: Men,2025-05-16 11:44:20.333119
T-shirt 20,$82.85,Rating: ⭐ 3.4 / 5,3 Colors,Size: XXL,Gender: Women,2025-05-16 11:44:20.333557
Unknown Product,$100.00,Rating: ⭐ Invalid Rating / 5,5 Colors,Size: M,Gender: Men,2025-05-16 11:44:21.476274
Pants 22,$269.98,Rating: ⭐ 4.9 / 5,3 Colors,Size: M,Gender: Men,2025-05-16 11:44:21.476730
